session,bill_number,title,index_categories,index_descriptions,last_action,url
2019 Regular Session,HB58,"AN ACT relating to the taxation of pension income, making an appropriation therefor, and declaring an emergency.","Effective Dates, Emergency; Retirement and Pensions; Taxation; Taxation, Income--Individual; Retroactive Legislation; Appropriations; Fiscal Note; Votes; Vote History","Pension income exclusion, retroactively raise; Pension income exclusion, retroactively raise; Pension income exclusion, retroactively raise; Pension income exclusion, retroactively raise; Pension income exclusion, raise for tax years beginning on or after January 1, 2018; Pension income exclusion, retroactively raise; Pension income exclusion, retroactively raise",03/14/19: to Appropriations &amp; Revenue (S),https://apps.legislature.ky.gov/record/19rs/hb58.html
2019 Regular Session,HB40,AN ACT relating to workers&#39; compensation for first responders.,Firefighters and Fire Departments; Labor and Industry; Peace Officers and Law Enforcement; State Employees; Workers' Compensation; Emergency Medical Services; Local Mandate,"Workers' compensation, psychological injuries; Workers' compensation, psychological injuries; Workers' compensation, psychological injuries; Workers' compensation, psychological injuries; Psychological injuries for police, firefighters, emergency medical services, and social workers; Workers' compensation, psychological injuries; Workers' compensation, psychological injuries",01/10/19: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/19rs/hb40.html
2019 Regular Session,HB85,AN ACT relating to providing free feminine hygiene products for women public postsecondary students.,"Education, Higher; Health and Medical Services; Reproductive Issues; Universities and Colleges; Women","Feminine hygiene products, free to students; Feminine hygiene products, free to public postsecondary students; Feminine hygiene products, free to public postsecondary students; Feminine hygiene products, free to students; Feminine hygiene products, free to public postsecondary students",01/10/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb85.html
2019 Regular Session,HB23,AN ACT relating to an exemption of feminine hygiene products from sales and use taxation.,"Reproductive Issues; Taxation; Taxation, Sales and Use; Women; Reports Mandated; Fiscal Note","Sales and use tax, feminine hygiene products, exemption of; Sales and use tax, feminine hygiene products, exemption of; Feminine hygiene products, exemption of; Sales and use tax, feminine hygiene products, exemption of; Department of Revenue, expenditure report, feminine hygiene products; Sales and use tax, femiinine hygiene products, exempiton of",01/10/19: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/19rs/hb23.html
2019 Regular Session,HB62,AN ACT relating to income tax checkoff programs and making an appropriation therefor.,"Education, Elementary and Secondary; Taxation; Taxation, Income--Individual; Associations; Children and Minors; Fiscal Note; Votes; Vote History","Kentucky YMCA Youth Assembly program tax designation, creation of; Individual income tax, Kentucky YMCA Youth Assembly program designation, creation of; Kentucky YMCA Youth Assembly program designation, creation of; Kentucky YMCA Youth Assembly program tax designation, creation of; Kentucky YMCA Youth Assembly program tax designation, creation of; Kentucky YMCA Youth Assembly program tax designation, creation of",02/27/19: to Appropriations &amp; Revenue (S),https://apps.legislature.ky.gov/record/19rs/hb62.html
2019 Regular Session,HB64,AN ACT relating to pharmacists.,Drugs and Medicines; Health and Medical Services; Pharmacists; Boards and Commissions; Jump to Proposed Amendments; House Committee Substitute 1; Votes; Vote History,"Pharmacists, emergency prescription refill, permit to dispense up to standard dispensing unit; Pharmacists, emergency prescription refill, permit to dispense up to standard dispensing unit; Emergency prescription refill, permit to dispense up to standard dispensing unit; Board of Pharmacy, prescription refill in emergency situations, promulgate administrative regulation",03/26/19: signed by Governor  (KY Acts ch.185),https://apps.legislature.ky.gov/record/19rs/hb64.html
2019 Regular Session,HB112,AN ACT relating to early childhood education.,"Fiscal Note; Education, Elementary and Secondary; Children and Minors","Kindergarten, full day of instruction for; Kindergarten, full day of instruction for; Kindergarten, full day of attendance for",01/10/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb112.html
2019 Regular Session,HB24,AN ACT relating to the exemption certain baby products from sales and use taxation.,"Taxation; Taxation, Sales and Use; Children and Minors; Reports Mandated; Fiscal Note","Sales and use tax, baby products and diapers, exemption of; Baby products and diapers, exemption of; Baby products and diapers, exemption of sales and use tax; Department of revenue expenditure report, baby products and diapers; Baby products and diapers, exemption of",01/10/19: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/19rs/hb24.html
2019 Regular Session,HB17,AN ACT relating to public charter schools.,"Education, Elementary and Secondary; Teachers; Athletics","Charter school statutes, repeal; Charter school statutes, repeal; Charter school statutes, repeal",01/10/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb17.html
2019 Regular Session,HB83,AN ACT relating to sexual harassment.,General Assembly; General Assembly; General Assembly; Legislative Research Commission; State Agencies; Ethics; Ethics; Reports Mandated,"Ethical misconduct, prohibited behavior, complaint procedures; Legislative ethic telephone tip line, establishing; Public funds, sexual harassment, legislators and legislative employees, prohibiting the use of; Legislative ethics telephone tip line, establishing; Legislative Ethics Commission, sexual harassment, complaint procedures; Legislative, sexual harassment, complaint procedures; Legislative ethics telephone tip line, establishing; Legislative ethics telephone tip line, complaints received",01/10/19: to State Government (H),https://apps.legislature.ky.gov/record/19rs/hb83.html
2019 Regular Session,HB113,AN ACT relating to early childhood education.,"Fiscal Note; Education, Elementary and Secondary; Children and Minors","Preschool, all four year olds, school districts to provide for; Preschool, all four year olds, school districts to provide for; Preschool, all four year olds eligible for",01/10/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb113.html
2019 Regular Session,HB115,AN ACT related to a tax credit for educator expense.,Corrections Impact; Courts; Crimes and Punishments; Criminal Procedure; Deaths,"Death penalty, replacement of with life imprisonment without parole; Death penalty, replacement of with life imprisonment without parole; Death penalty, replacement of with life imprisonment without parole; Death penalty, replacement of with life imprisonment without parole; Death penalty, replacement of with life imprisonment without parole",01/10/19: to Judiciary (H),https://apps.legislature.ky.gov/record/19rs/hb115.html
2019 Regular Session,HB136,AN ACT relating to medicinal marijuana and making an appropriation therefor.,"Corrections Impact; Local Mandate; Disabilities and the Disabled; Drugs and Medicines; Effective Dates, Delayed; Federal Laws and Regulations; Health and Medical Services; Licensing; Occupations and Professions; Physicians and Practitioners","Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, portions to begin January 1, 2020; Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, establish; Medicinal marijuana program, establish",03/12/19: floor amendment (2) filed to Committee Substitute,https://apps.legislature.ky.gov/record/19rs/hb136.html
2019 Regular Session,HB138,AN ACT relating to surprise billing.,"Effective Dates, Delayed; Insurance, Health; Insurance, Health; Insurance, Health; Insurance, Health; Physicians and Practitioners; State Agencies; Health Benefit Mandate","Health care services, out-of-network care, reimbursement and billing, January 1, 2020; Insurers, billed claims, required reporting of; Unanticipated out-of-network care, balance billing, prohibition against; Unanticipated out-of-network care, minimum reimbursement for; Unanticipated out-of-network care, usual and customary rate, definition of; Out-of-network health care services, balance billing, prohibition against; Database of billed health care services charges, commissioner of insurance; Unanticipated out-of-network care, balance billing, prohibition against",01/10/19: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/19rs/hb138.html
2019 Regular Session,HB126,AN ACT relating to the fiduciary duties of the trustees and investment managers for the state-administered retirement systems.,Corrections Impact; Local Mandate; Crimes and Punishments; Public Officers and Employees; Retirement and Pensions; Retirement and Pensions; Ethics,"Violation of fiduciary or ethical duties, Class D felony; Retirement and pensions, violation of fiduciary or ethical duties; Retirement and pensions, violation of fiduciary or ethical duties, Class D felony; Retirement and pensions, violation of fiduciary or ethical duties; State-administered retirement systems, investment contracts subject to Model Procurement Code; Violation of fiduciary or ethical duties, Class D felony; Retirement and pensions, violation of fiduciary or ethical duties",01/10/19: to State Government (H),https://apps.legislature.ky.gov/record/19rs/hb126.html
2019 Regular Session,HB164,AN ACT relating to civil rights.,Labor and Industry; Landlord and Tenant; Men; Real Estate; Women; Civil Rights; Local Mandate,"Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination",02/05/19: to Judiciary (H),https://apps.legislature.ky.gov/record/19rs/hb164.html
2019 Regular Session,HB137,AN ACT relating to political activities.,"Local Mandate; Elections and Voting; Personnel and Employment; Public Officers and Employees; State Agencies; State Employees; Education, Elementary and Secondary; Education, Vocational; Effective Dates, Delayed; Elections and Voting","Election of statewide constitutional officers, change to even-numbered years; Personnel Board, allow member to seek paid partisan public office; Classified service, allow employee to seek paid partisan public office; Classified service, allow employee to seek paid partisan public office; Personnel Board, allow member to seek paid partisan public office; Classified service, allow employee to seek paid partisan public office; Certified or equivalent employee, allow to seek paid partisan public office; Certified or equivalent employee, allow to seek paid partisan public office; Candidacy for paid partisan public office, November 6, 2019; Classified service, allow employee to seek paid partisan public office","01/10/19: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/19rs/hb137.html
2019 Regular Session,HB172,AN ACT relating to education.,"Education, Elementary and Secondary; Effective Dates, Emergency; Boards and Commissions; Boards and Commissions","State assistance and state management, process for; State assistance and state management, process for; Board of Education, eligibility and membership; State assistance and state management, Board of Education, process for",02/06/19: to Education (H),https://apps.legislature.ky.gov/record/19rs/hb172.html
2019 Regular Session,HB155,AN ACT relating to expungement.,"Courts, Circuit; Crimes and Punishments; Criminal Procedure; Criminal Procedure; Criminal Procedure; Criminal Procedure; Fees; Public Records and Reports","Filing fee, application for felony expungement, reduction to $200; Expungement of felonies, expansion of; Expungement, additional Class D felony offenses; Expungement, certification of eligibility for, limitation of requirement; Expungement, charges dismissed without prejudice; Filing fee, application for felony expungement, reduction to $200; Filing fee, application for felony expungement, reduction to $200; Expungement of felonies, expansion of",02/05/19: to Judiciary (H),https://apps.legislature.ky.gov/record/19rs/hb155.html
2019 Regular Session,HB162,AN ACT relating to the training of commercial driver&#39;s license holders in identifying and reporting human trafficking.,Motor Carriers; Motor Carriers; Transportation,"Commercial driver's license, human trafficking identification training; Commercial driver's license, human trafficking wallet card, issued with; Commercial driver's license, human trafficking identification training and wallet card",02/05/19: to Transportation (H),https://apps.legislature.ky.gov/record/19rs/hb162.html
2019 Regular Session,HB211,AN ACT relating to conversion therapy and declaring an emergency.,"Effective Dates, Emergency; Mental Health; Occupations and Professions; Physicians and Practitioners; Advertising; Budget and Financial Administration; Boards and Commissions","Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibiting of public funding of; Conversion therapy, prohibition of, disciplinary action",02/06/19: to Health and Family Services (H),https://apps.legislature.ky.gov/record/19rs/hb211.html
2019 Regular Session,HB247,AN ACT relating to elections.,County Clerks; Elections and Voting; Secretary of State; Local Mandate,"Voting hours, extension of, in counties of 90,000 or more population; Voting hours, extension of, in counties of 90,000 or more population; Voting hours, extension of, in counties of 90,000 or more population; Voting hours, extension of, in counties of 90,000 or more population","02/07/19: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/19rs/hb247.html
2019 Regular Session,HB237,AN ACT relating to permitting expedited partner therapy for a sexually transmitted gonorrhea or chlamydia infection.,Drugs and Medicines; Health and Medical Services; Nurses; Physicians and Practitioners; Public Health; Jump to Proposed Amendments; Senate Committee Substitute 1; Votes; Vote History,"Sexually transmitted disease, expedited partner therapy, permitting; Sexually transmitted disease, expedited partner therapy, permitting; Sexually transmitted disease, expedited partner therapy, permitting; Sexually transmitted disease, expedited partner therapy, permitting; Sexually transmitted disease, expedited partner therapy, permitting",03/26/19: signed by Governor  (KY Acts ch.175),https://apps.legislature.ky.gov/record/19rs/hb237.html
2019 Regular Session,HB253,AN ACT relating to voting.,Local Mandate; Elections and Voting; Secretary of State; State Agencies,"Early voting, omnibus bill; Early voting, omnibus bill; Early voting, omnibus bill; Early voting, application form, signature roster","02/07/19: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/19rs/hb253.html
2019 Regular Session,HB175,AN ACT relating to wagering and making an appropriation therefor.,Gambling; Gambling; Gambling; Licensing; Licensing; Licensing; Lottery; Retirement and Pensions; Taxation; Amusements and Recreation,"Fantasy sports, provisions for; Online poker, provisions for; Sports wagering, provisions for; Fantasy sports, licensing of; Online poker, licensing of; Sports wagering, licensing of; Online poker, adding games; Gaming tax, funding from; Wagering, taxation on; Fantasy sports, provisions for",03/05/19: floor amendment (1) filed to Committee Substitute,https://apps.legislature.ky.gov/record/19rs/hb175.html
